AtBat,Hits,HmRun,Runs,RBI,Walks,Years,CAtBat,CHits,CHmRun,CRuns,CRBI,CWalks,PutOuts,Assists,Errors,Salary
315,81,7,24,38,39,14,3449,835,69,321,414,375,632,43,10,475
479,130,18,66,72,76,3,1624,457,63,224,266,263,880,82,14,480
496,141,20,65,78,37,11,5628,1575,225,828,838,354,200,11,3,500
321,87,10,39,42,30,2,396,101,12,48,46,33,805,40,4,91.5
594,169,4,74,51,35,11,4408,1133,19,501,336,194,282,421,25,750
185,37,1,23,8,21,2,214,42,1,30,9,24,76,127,7,70
298,73,0,24,24,7,3,509,108,0,41,37,12,121,283,9,100
323,81,6,26,32,8,2,341,86,6,32,34,8,143,290,19,75
401,92,17,49,66,65,13,5206,1332,253,784,890,866,0,0,0,1100
574,159,21,107,75,59,10,4631,1300,90,702,504,488,238,445,22,517.143
202,53,4,31,26,27,9,1876,467,15,192,186,161,304,45,11,512.5
418,113,13,48,61,47,4,1512,392,41,205,204,203,211,11,7,550
239,60,0,30,11,22,6,1941,510,4,309,103,207,121,151,6,700
196,43,7,29,27,30,13,3231,825,36,376,290,238,80,45,8,240
568,158,20,89,75,73,15,8068,2273,177,1045,993,732,105,290,10,775
190,46,2,24,8,15,5,479,102,5,65,23,39,102,177,16,175
127,32,8,16,22,14,8,727,180,24,67,82,56,202,22,2,135
413,92,16,72,48,65,1,413,92,16,72,48,65,280,9,5,100
426,109,3,55,43,62,1,426,109,3,55,43,62,361,22,2,115
472,116,16,60,62,74,6,1924,489,67,242,251,240,518,55,3,600
629,168,18,73,102,40,18,8424,2464,164,1008,1072,402,1067,157,14,776.667
587,163,4,92,51,70,6,2695,747,17,442,198,317,434,9,3,765
324,73,4,32,18,22,7,1931,491,13,291,108,180,222,3,3,708.333
474,129,10,50,56,40,10,2331,604,61,246,327,166,732,83,13,750
550,152,6,92,37,81,5,2308,633,32,349,182,308,262,329,16,625
513,137,20,90,95,90,14,5201,1382,166,763,734,784,267,5,3,900
419,108,6,55,36,22,3,591,149,8,80,46,31,226,7,4,110
583,168,17,83,80,56,5,1646,452,44,219,208,136,109,292,25,612.5
204,49,6,23,25,12,7,1309,308,27,126,132,66,419,46,5,300
379,106,10,38,60,30,14,6207,1906,146,859,803,571,72,170,24,850
268,60,5,24,25,15,2,350,78,5,34,29,18,442,59,6,90
181,41,1,15,21,33,2,232,50,4,20,29,45,326,29,5,67.5
217,46,7,32,19,9,4,694,160,32,86,76,32,307,25,1,180
254,68,2,28,26,22,6,999,236,21,108,117,118,359,30,4,305
416,132,7,57,49,33,3,932,273,24,113,121,80,73,177,18,215
205,57,8,34,32,9,5,756,192,32,117,107,51,58,4,4,247.5
457,101,14,42,63,22,17,6521,1767,281,1003,977,619,389,39,4,875
214,53,2,30,29,23,2,226,59,2,32,32,27,109,7,3,70
591,168,19,80,72,39,9,4478,1307,113,634,563,319,67,147,4,1200
403,101,12,45,53,39,12,5150,1429,166,747,666,526,316,6,5,675
405,102,18,49,85,20,6,950,231,29,99,138,64,161,10,3,415
244,58,9,28,25,35,4,1335,333,49,164,179,194,142,14,2,340
313,78,6,32,41,12,12,3742,968,35,409,321,170,106,206,7,416.667
627,177,25,98,81,70,6,3210,927,133,529,472,313,240,482,13,1350
416,113,24,58,69,16,1,416,113,24,58,69,16,203,70,10,90
155,44,6,21,23,15,16,6631,1634,98,698,661,777,53,88,3,275
236,56,0,27,15,11,4,1115,270,1,116,64,57,125,199,13,230
216,53,1,31,15,22,4,926,210,9,118,69,114,73,152,11,225
585,139,31,93,94,62,17,7546,1982,315,1141,1179,727,0,0,0,950
199,53,5,29,22,21,3,514,120,8,57,40,39,152,3,5,75
521,142,20,67,86,45,4,815,205,22,99,103,78,107,242,23,105
311,81,3,42,30,26,17,8247,2198,100,950,909,690,153,223,10,320
512,131,26,69,96,52,14,5347,1397,221,712,815,548,119,216,12,850
507,122,29,78,85,91,18,7761,1947,347,1175,1152,1380,808,108,2,535
529,137,26,86,97,97,15,6661,1785,291,1082,949,989,280,10,5,933.333
424,119,6,57,46,13,9,3651,1046,32,461,301,112,224,286,8,850
351,97,4,55,29,39,4,1258,353,16,196,110,117,226,7,3,210
388,103,15,59,47,39,6,2174,555,80,285,274,186,182,9,4,325
339,96,4,37,29,23,4,1064,290,11,123,108,55,104,213,9,275
255,70,7,49,35,43,15,6311,1661,154,1019,608,820,51,54,8,450
677,238,31,117,113,53,5,2223,737,93,349,401,171,1377,100,6,1975
614,163,29,89,83,75,11,5017,1388,266,813,822,617,303,6,6,1900
329,83,9,50,39,56,9,3828,948,145,575,528,635,276,6,2,600
